date,open,high,low,close,volume
2015-03-13,54.3465,54.5588,53.9044,54.4942,28776060.015016
2015-03-16,54.2017,55.2729,54.0256,55.2337,23211292.254048
2015-03-17,54.8952,55.2249,54.6194,55.0195,19086028.428466
2015-03-18,54.6527,56.9162,54.5734,56.6198,38009219.001932
2015-03-19,55.9322,56.1737,55.5585,55.7209,31828854.490073
2015-03-20,56.3342,56.8683,56.1121,56.5406,27843483.171437
2015-03-23,56.6629,57.0472,56.342,56.342,16541111.776947
2015-03-24,56.4888,56.57,55.9224,55.9684,20106125.750442
2015-03-25,56.3342,57.1197,56.2599,56.6951,21626371.344757
2015-03-26,57.3495,57.5266,56.4232,56.6286,20837409.173963
2015-03-27,56.4643,56.525,56.0476,56.1659,16278713.908508
2015-03-30,56.7098,57.4787,56.6863,57.3681,24740455.303078
2015-03-31,56.9358,57.3407,56.6061,57.0316,12791670.159832
2015-04-01,57.2165,57.51,56.9015,57.015,18082575.045527
2015-04-02,56.7685,57.466,56.6218,57.1344,18850180.51032
2015-04-06,57.466,58.4813,57.2019,58.1634,21143062.269261
2015-04-07,58.1066,58.5968,57.9492,58.2025,19234392.670735
2015-04-08,58.4755,58.6114,57.7076,57.7311,16385495.393929
2015-04-09,57.8866,58.7885,57.8319,58.6554,18868896.635611
2015-04-10,58.8119,59.0115,58.5616,58.9157,12038998.339253
2015-04-13,59.172,59.2541,58.2338,58.3258,13521431.390292
2015-04-14,58.6701,59.5182,58.6398,59.3793,18663146.021632
2015-04-15,59.7256,60.9219,59.5984,60.7967,27183349.239289
2015-04-16,60.5688,61.185,60.1776,60.6578,28943283.503483
2015-04-17,60.3702,60.4515,59.7383,60.2156,23012355.217471
2015-04-20,60.2724,61.1039,60.2606,60.4435,17289668.871489
2015-04-21,60.5952,60.6353,59.5544,59.8048,16073311.896164
2015-04-22,59.9593,60.4299,59.5593,60.202,13778832.294539
2015-04-23,60.335,61.0021,60.2685,60.6128,17106439.354309
2015-04-24,60.4299,60.4867,59.9789,60.2685,15653583.260716
2015-04-27,60.5551,60.7018,60.0963,60.202,15405958.536618
2015-04-28,60.1844,60.6128,59.9936,60.5033,15133643.411709
2015-04-29,60.289,61.0618,60.0963,60.9747,21632491.808059
2015-04-30,61.2016,61.2985,60.4367,60.785,22515445.56677
2015-05-01,60.8417,61.0247,60.4367,60.9219,15445271.804819
2015-05-04,61.0315,61.275,60.4573,60.7684,19634516.808984
